week,demand
1,53
2,12
3,23
4,27
5,11
6,9
7,24
8,10
9,30
10,10
11,4
12,3
13,41
14,13
15,5
16,49
17,31
18,11
19,28
20,19
21,61
22,4
23,26
24,26
25,28
26,49
27,8
28,15
29,15
30,4
31,14
32,11
33,34
34,11
35,11
36,11
37,19
38,42
39,2
40,29
41,18
42,6
43,12
44,13
45,14
46,40
47,21
48,23
49,38
50,44
51,43
52,31
53,31
54,8
55,10
56,11
57,30
58,5
59,49
60,37
61,21
62,11
63,30
64,0
65,6
66,7
67,10
68,3
69,5
70,43
71,7
72,31
73,21
74,7
75,67
76,31
77,35
78,6
79,17
80,11
81,17
82,12
83,24
84,13
85,16
86,14
87,1
88,28
89,13
90,27
91,36
92,13
93,19
94,27
95,15
96,10
97,15
98,15
99,18
100,15
101,23
102,46
103,13
104,22
