week,demand
1,94
2,67
3,31
4,35
5,37
6,2
7,110
8,29
9,8
10,23
11,59
12,29
13,26
14,78
15,68
16,30
17,40
18,37
19,36
20,18
21,76
22,95
23,66
24,38
25,53
26,8
27,37
28,25
29,19
30,25
31,21
32,22
33,16
34,4
35,23
36,59
37,17
38,33
39,38
40,21
41,49
42,61
43,80
44,40
45,17
46,61
47,0
48,10
49,11
50,33
51,113
52,11
53,25
54,46
55,16
56,23
57,13
58,49
59,17
60,4
61,16
62,40
63,17
64,7
65,12
66,22
67,12
68,11
69,15
70,48
71,40
72,58
73,17
74,18
75,22
76,5
77,8
78,0
79,31
80,60
81,49
82,16
83,53
84,34
85,23
86,33
87,19
88,36
89,13
90,9
91,39
92,10
93,21
94,12
95,14
96,33
97,18
98,101
99,34
100,8
101,39
102,40
103,85
104,27
